,site,date,time_period,site-date,site-time_period,date-time_period,site-date-time_period
57,0.2138303454292041,-inf,-inf,-0.0021582136062043844,0.09134534505096781,-inf,0.11546479035161916
58,-inf,-inf,-inf,0.06828817513552554,0.553257438016761,-inf,0.11801041682475841
59,-inf,-inf,-inf,-0.09685171239602153,0.21366905801282154,-inf,0.23272075600590905
60,-inf,-inf,-inf,0.21460841553625554,0.13794664364211595,0.14249446029218937,0.20578653332225735
61,-inf,-inf,-inf,0.022076876276213353,-inf,0.15316920220726882,0.28872089972895776
62,-inf,-inf,-inf,0.10639339441581908,-inf,-inf,-0.019603202270050635
63,0.10960148138001635,-inf,-inf,0.05334860402521424,-inf,0.182013638701628,-0.006618350717543131
64,1.1113790923296305,-inf,-inf,0.14116196170215556,0.20216492699669342,-inf,-0.045748507887735795
65,-inf,-inf,-inf,0.09971553589270843,-inf,0.16719077216928824,-0.03550780669116241
66,-inf,-inf,-inf,-0.18832828596354356,-inf,0.295743234035144,0.2270095061456382
67,-inf,-inf,-inf,-0.03361982143725317,0.19036385404507694,-inf,0.04061510201389787
68,0.0928988080616664,0.20958274776898644,-inf,0.10708324153382698,-inf,-inf,0.13526618456907846
69,-inf,-inf,-inf,-0.03979489901823463,-0.06905748817660307,-0.07814325417934587,0.027243034366508156
70,0.3062326974497829,0.1893609232852107,-inf,0.08170776503431876,0.26206705538962183,0.23894658255721524,0.009049436155332713
71,-inf,0.32725915307611775,-inf,-0.05254278063163609,-0.17944795778138367,-inf,-0.20047897178628396
72,-inf,-inf,-inf,-0.029864195163440854,0.39509785494879157,-inf,-0.10229520840312531
73,-inf,0.3710610397511278,-inf,-0.08202003381216016,0.3466368031395639,0.189059179971653,0.08950856982057814
74,0.2437126218842467,-inf,-inf,-0.07245566722839958,-inf,0.36908994310704557,0.0065558696513667025
75,0.5803574979897288,-inf,-inf,-0.10184230783706938,-inf,0.3417295981466628,0.07732609881798405
76,0.11639221753790441,2.2914763083791945,-inf,0.09587256471359495,0.02226480818031984,0.2184935016136862,-0.10577106108600673
77,-inf,-inf,-inf,0.0525338904233128,0.07184029280933668,0.040982144819840194,0.08799112966728037
78,-inf,0.05330096329109946,-inf,0.15822984790109285,0.2737098039208927,0.7125631735519979,0.07145738174594424
79,-inf,0.580188913694629,-inf,0.03807056286148547,-inf,0.012774633109198241,-0.004822793363064182
80,-inf,-inf,-inf,0.34875800086501774,0.36344643948431976,0.07129450572003027,-0.08828083540754753
81,0.10366498892053588,-inf,-inf,0.22459763267169985,-0.041935374533309755,-inf,0.00711493091694837
